# ra dec dm_bonsai
303.416512 53.129776 453.580366
4.311485 6.099532 96.165311
3.728273 66.511755 575.880655
17.785549 67.353000 142.665996
137.151578 85.476239 1032.676049
100.169398 39.599355 125.879570
104.207191 39.837560 259.908668
201.707477 53.299253 819.987216
288.473592 23.623984 273.693813
337.755010 -6.409496 441.695426
239.282747 9.871749 186.850243
8.265204 77.036475 270.127892
11.592665 46.879119 399.208878
86.798386 39.183727 409.960712
120.724615 46.268476 254.172187
180.473921 22.903282 956.633367
300.573666 47.321987 933.185581
255.990505 74.569511 479.778782
94.522278 89.100594 504.643771
249.006117 40.252856 732.049481
253.254003 53.228270 501.573455
20.841027 13.635274 637.068260
64.154128 82.495114 402.844525
78.602721 42.697782 303.121769
84.765728 40.358900 1217.880056
64.221187 42.271529 246.549651
145.877933 15.248294 617.121698
161.768528 41.649113 1667.655528
212.179053 61.108726 1079.471272
187.409591 29.637779 821.939125
243.682807 68.728797 159.576277
187.549008 39.297726 503.323702
326.127949 27.376515 427.359412
296.733202 88.597965 635.783633
105.281493 42.840175 642.187059
122.182375 46.271971 256.116352
156.304303 50.970169 332.173754
350.269194 47.800587 897.272256
88.641701 88.112521 657.114668
190.337806 65.132265 331.902581
359.555724 48.385322 895.924714
78.311271 48.521252 378.710352
146.976185 63.107312 943.693603
153.587030 25.044733 348.818123
210.663411 80.081247 100.293678
294.906688 59.385604 1300.076718
311.249630 29.056211 351.652914
358.099653 48.427263 406.380280
65.855040 73.642875 101.094035
90.809187 11.781189 213.038146
229.310293 60.710507 755.365538
293.409985 29.913256 279.800391
175.453408 73.756729 1179.278588
157.408081 46.554800 579.328200
41.885648 13.631537 480.044741
179.894530 63.938191 194.739175
210.158417 48.253494 195.194536
84.616786 8.289482 168.127648
104.020544 61.062444 1164.414812
239.177159 49.375721 303.886432
244.101726 55.581145 664.901674
258.796780 60.800167 327.213394
215.302349 57.183215 883.150924
323.200208 13.655077 117.236445
64.629461 68.043972 212.555713
100.800133 34.843065 252.940682
179.283310 85.947693 252.045011
296.957218 85.245033 668.295600
16.170545 52.533819 780.629132
53.039826 82.014031 1627.255709
212.523381 32.899676 621.040079
238.528470 14.742806 256.545451
240.858029 25.415939 1638.190254
264.968341 -1.139455 790.194325
206.369767 48.257332 193.007028
208.286846 70.014188 541.791862
354.631823 71.943091 1132.088894
180.367259 80.325369 251.786075
124.930683 46.418450 337.742574
11.058821 28.610755 575.526294
142.026059 33.138926 428.353346
180.231197 7.367801 500.587606
277.282583 24.925418 302.173982
307.406655 76.314327 1041.861787
244.340567 58.714185 1145.920373
88.954402 62.436740 164.776137
91.049502 61.816015 120.276397
111.664702 23.267735 384.232114
183.781593 48.654296 1187.944790
277.206592 24.929374 302.079255
91.947503 41.151057 502.806507
55.632793 -6.364905 108.377111
55.540663 -6.367424 108.323463
61.191055 73.636141 98.876690
220.708290 34.506150 808.047377
222.156600 34.905800 197.168774
29.791353 65.717642 151.444695
33.742481 65.736254 157.830434
100.159081 74.998267 603.564568
107.723055 68.873182 190.389102
174.689762 61.471964 303.922793
282.154791 74.073683 654.853503
145.364615 65.114194 736.269701
165.146776 34.125386 1116.170810
164.466222 34.119944 424.330874
166.444039 31.159722 608.175622
353.078830 17.361584 1074.004202
191.812306 86.897469 544.951952
233.593315 43.552208 1077.841842
298.368709 57.040502 269.001679
59.832285 89.688933 302.249422
34.149508 29.861878 393.448508
183.759164 36.129989 309.331048
234.229521 16.145073 856.794870
255.835971 39.602444 1301.118794
283.970182 60.585561 155.531328
116.178421 19.771980 462.086202
225.485337 63.088503 697.238478
252.138816 37.247469 736.730245
84.077231 72.413100 244.841658
120.934809 56.983656 669.411795
199.595723 42.962508 307.314876
242.599255 75.453007 660.516813
258.082437 43.128643 1193.019681
66.094476 73.598742 105.190102
249.520950 41.557991 185.086557
120.292284 76.748829 276.066488
150.740084 33.710235 191.222196
233.631121 83.056398 212.107897
152.468598 79.431969 554.878262
173.432656 24.633449 527.284856
50.455995 19.209679 1364.603883
134.218566 38.076232 292.455873
197.763479 10.923986 1171.856158
208.064471 48.116398 192.086287
60.816108 73.621375 96.557349
92.171104 65.828190 499.531258
136.097618 40.042772 573.505252
169.273807 69.197329 754.826410
205.864570 48.258210 193.049885
294.138956 86.643944 867.501164
54.281346 53.909060 925.800044
178.387286 84.051198 475.336433
204.040392 76.796824 711.273136
254.760921 44.690413 776.717544
273.684544 19.712730 453.113219
143.933794 29.627943 729.476485
208.163603 48.107924 192.493369
25.619695 40.265011 180.661562
210.735144 48.250911 191.498696
304.541057 52.357565 218.600838
113.122239 20.210156 318.626321
331.761024 79.105614 877.988732
121.108013 51.704725 1044.623195
215.921246 82.679078 645.434266
107.414046 61.211556 395.879717
190.335833 65.132879 330.622750
202.574373 44.938180 549.130728
208.322525 70.843549 895.180097
64.793248 74.817725 256.667250
78.892345 45.036899 149.804791
123.099782 40.031193 987.386449
313.843308 18.450861 289.511935
207.161215 29.225715 556.446875
237.918085 24.024484 630.589316
150.767654 27.047072 974.994818
4.119329 24.988719 2517.515701
26.257350 35.519047 235.478365
47.779515 61.351790 718.104465
202.327278 51.601860 959.487102
29.977344 39.229418 715.809271
40.117486 17.363136 333.869290
242.541270 40.022328 382.211780
344.586319 77.597835 232.649297
68.095917 31.155068 307.998491
66.442512 52.352912 525.344318
105.407834 49.723968 466.639344
107.403425 51.292606 78.149782
213.177628 27.980073 885.404931
312.631998 59.756316 641.232865
327.341617 65.735786 427.857435
93.956820 27.476419 584.308671
